MTS793|MPT|ENU|1|2|.|/|:|1|0|0|A

Data Acquisition						Time:	30.807129	Sec
Channel 1 Displacement	Channel 1 Force	Time
mm	N	Sec
0.0028670456	-6.8756771	0.084228516
0.0012915302	-6.1585588	0.11425781
0.0035544659	-7.4378977	0.14428711
0.00193418	-4.9669127	0.17431641
0.0027520235	-6.009398	0.2043457
0.0017072059	-4.4596028	0.234375
0.0039498797	-5.9038792	0.2644043
0.00080197019	-3.9467607	0.29443359
0.0029452278	-3.7090871	0.32446289
0.00231363	-9.2327423	0.35449219
-0.00016486984	-3.0770497	0.38452148
0.00075714849	-4.9072895	0.41455078
0.0019597632	-4.2217245	0.44458008
0.0013140434	-2.8289268	0.47460938
-0.0017505673	-8.3445406	0.50463867
0.00045710878	-7.4012222	0.53466797
0.0017735176	-9.279048	0.56469727
-0.00073992886	-5.347805	0.59472656
-0.0023111464	-5.7147646	0.62475586
-0.0011840531	-1.7692307	0.65478516
0.00041617567	-5.6633372	0.68481445
-0.0023072576	-10.448105	0.71484375
-0.0040268577	-8.2488565	0.74487305
-0.0028919871	-8.2242689	0.77490234
-0.0026208053	-5.5158157	0.80493164
-0.0022110648	-7.803833	0.83496094
-0.0030501937	-5.5158157	0.86499023
-0.0043729469	-3.3988822	0.89501953
-0.0036785167	-8.0228615	0.92504883
-0.0040256297	-7.4876862	0.95507813
-0.0049427361	-8.2785654	0.98510742
-0.0047507598	-3.0811477	1.0151367
-0.0050307419	-3.8900058	1.045166
-0.0031021787	-3.7732179	1.0751953
-0.0049372101	-6.5605545	1.1052246
-0.0053119524	-4.5173821	1.1352539
-0.0044601345	-7.0186911	1.1652832
-0.0059498949	-6.68226	1.1953125
-0.0060964357	-6.4958091	1.2253418
-0.0045374981	-6.1192198	1.2553711
-0.0062212818	-3.8498473	1.2854004
-0.0074952734	-3.106554	1.3154297
-0.0074058347	-6.3554587	1.345459
-0.0063723247	-7.4008126	1.3754883
-0.006533192	-7.2053466	1.4055176
-0.0073170098	-2.6484179	1.4355469
-0.012081982	-3.2874727	1.4655762
-0.0083759492	-3.5154653	1.4956055
-0.0085040703	-6.3693914	1.5256348
-0.0093914997	-6.781837	1.5556641
-0.0088511826	-6.4595437	1.5856934
-0.0089381654	-7.0176663	1.6157227
-0.0088294884	-5.7004223	1.645752
-0.0094537186	-4.2053332	1.6757813
-0.012395734	-3.3658948	1.7058105
-0.011246537	-6.8463778	1.7358398
-0.011188822	-5.6780891	1.7658691
-0.0096246134	-8.046629	1.7958984
-0.0091524506	-4.3481421	1.8259277
-0.011715426	-3.7984197	1.855957
-0.011110639	-0.99412817	1.8859863
-0.011335772	-3.0174265	1.9160156
-0.01182615	-3.5187435	1.9460449
-0.012028155	-3.3261459	1.9760742
-0.014316674	-6.964395	2.0061035
-0.013788432	-4.7571044	2.0361328
-0.013907752	-2.1560647	2.0661621
-0.014427398	-3.3122134	2.0961914
-0.015577414	0.18804145	2.1262207
-0.015124694	-3.1895349	2.15625
-0.012757583	-4.2981486	2.1862793
-0.016375609	-6.332921	2.2163086
-0.015891166	-6.8779306	2.2463379
-0.014168496	-2.0407112	2.2763672
-0.015486133	0.071868263	2.3063965
-0.015157235	-3.2026479	2.3364258
-0.013979181	-3.9045532	2.3664551
-0.014754454	-4.6403165	2.3964844
-0.014917162	-6.9863181	2.4265137
-0.018554479	-3.5300124	2.456543
-0.015881751	-4.1850491	2.4865723
-0.016417362	-2.0505459	2.5166016
-0.016926365	-2.0991051	2.5466309
-0.018032786	-1.9435929	2.5766602
-0.017007207	-6.1741304	2.6066895
-0.016627347	-4.8618035	2.6367188
-0.017949488	-3.7349033	2.666748
-0.017484896	-6.0557032	2.6967773
-0.0177307	-4.957078	2.7268066
-0.017417971	-1.4282922	2.7568359
-0.018392179	-3.234406	2.7868652
-0.020621959	-6.2388759	2.8168945
-0.018829141	-2.8088474	2.8469238
-0.01872169	-5.2209778	2.8769531
-0.021654496	-2.9967325	2.9069824
-0.019546902	-1.7948421	2.9370117
-0.021627072	-4.2319689	2.967041
-0.019909775	-6.7957697	2.9970703
-0.017558577	-8.1705875	3.0270996
-0.021563215	-7.2709117	3.0571289
-0.021540908	-6.1501579	3.0871582
-0.021316798	-1.4461176	3.1171875
-0.021569151	-3.0979486	3.1472168
-0.022554411	-2.9494026	3.1772461
-0.0240169	-4.9062653	3.2072754
-0.023234105	-5.8629012	3.2373047
-0.024401262	-6.8660474	3.267334
-0.022808811	-5.5051613	3.2973633
-0.024831878	-4.662035	3.3273926
-0.022289369	-2.8315904	3.3574219
-0.024703963	-1.8944191	3.3874512
-0.02334483	-5.9950557	3.4174805
-0.026460811	-7.0348773	3.4475098
-0.025180833	-2.1982725	3.4775391
-0.02611861	-6.0184131	3.5075684
-0.028631853	-3.0043135	3.5375977
-0.025558645	-3.3368003	3.567627
-0.026445052	-5.7926235	3.5976563
-0.02560797	-4.3923984	3.6276855
-0.027854942	-6.5535884	3.6577148
-0.025897367	-6.2735023	3.6877441
-0.027002562	-6.6578779	3.7177734
-0.026305676	-4.1147714	3.7478027
-0.026812632	0.86745989	3.777832
-0.026593843	-3.3124182	3.8078613
-0.028086009	-2.7145977	3.8378906
-0.026846401	-3.942663	3.8679199
-0.027843481	-5.0351415	3.8979492
-0.029928409	-2.5142143	3.9279785
-0.028882567	-2.7633617	3.9580078
-0.030858614	-1.8751594	3.9880371
-0.02916521	-4.1555448	4.0180664
-0.028002916	-4.6249499	4.0480957
-0.028943149	-8.9704819	4.078125
-0.030147197	-3.0881138	4.1081543
-0.028530747	-1.8907311	4.1381836
-0.032652713	-1.0205591	4.1682129
-0.031484686	-2.3447695	4.1982422
-0.031539127	-1.2129518	4.2282715
-0.031470563	-4.073998	4.2583008
-0.031786364	-1.7112466	4.2883301
-0.033714924	-3.4767408	4.3183594
-0.030171346	-3.5421009	4.3483887
-0.033363719	-3.3847446	4.378418
-0.033058565	-2.2906783	4.4084473
-0.032472402	-4.2309446	4.4384766
-0.032736011	-1.3774792	4.4685059
-0.0332225	-5.5692921	4.4985352
-0.034970701	-4.9837136	4.5285645
-0.034865301	-1.5549147	4.5585938
-0.032945998	-3.7469919	4.588623
-0.035716914	-2.6375587	4.6186523
-0.036187645	-2.4105394	4.6486816
-0.035078358	-5.3605084	4.6787109
-0.032651279	-6.1118436	4.7087402
-0.036118057	-4.0826035	4.7387695
-0.035902135	-5.714355	4.7687988
-0.035858337	-3.2984858	4.7988281
-0.037819594	-1.9185963	4.8288574
-0.036374912	-2.6789465	4.8588867
-0.03538863	-8.2572565	4.888916
-0.038047798	-5.5160208	4.9189453
-0.036618873	-3.7953463	4.9489746
-0.0363524	-5.1822534	4.9790039
-0.037508707	-3.6215987	5.0090332
-0.03673676	-3.5744739	5.0390625
-0.038244072	-6.5117908	5.0690918
-0.035505697	-4.9019623	5.0991211
-0.040759563	-7.9831128	5.1291504
-0.037846204	-4.4563246	5.1591797
-0.038622294	-5.913919	5.189209
-0.037460614	-4.5546722	5.2192383
-0.038927656	-6.5728483	5.2492676
-0.03670647	-5.3879638	5.2792969
-0.039206818	-7.7280235	5.3093262
-0.039097324	-4.0223656	5.3393555
-0.039004814	-5.8086047	5.3693848
-0.040247951	-2.5859261	5.3994141
-0.038991716	-2.0177634	5.4294434
