MTS793|MPT|ENU|1|2|.|/|:|1|0|0|A

Data Acquisition						Time:	102.57642	Sec
Channel 1 Displacement	Channel 1 Force	Time
mm	N	Sec
-0.00033669148	-3.3368561	0.17358398
-0.0018352526	0.92011219	0.27368164
-0.0021088906	-0.52308857	0.3737793
0.0010161478	1.4479114	0.47387695
-0.001887647	0.33601931	0.57397461
-0.0013538792	2.8477263	0.67407227
4.4395772e-05	3.320205	0.77416992
-0.0047077336	2.932961	0.87426758
-0.0065404624	2.4139724	0.97436523
-0.0072735744	-0.12887831	1.0744629
-0.0062072668	3.2089493	1.1745605
-0.0056798439	1.4546728	1.2746582
-0.0088952929	6.0910993	1.3747559
-0.011014195	3.613199	1.4748535
-0.011275758	2.1113484	1.5749512
-0.011455659	-0.49645272	1.6750488
-0.012377626	-0.15489946	1.7751465
-0.013381716	4.3964462	1.8752441
-0.014282039	2.4438863	1.9753418
-0.014304757	4.1659436	2.0754395
-0.013228216	4.7627912	2.1755371
-0.018007565	0.67096478	2.2756348
-0.017542975	1.2581823	2.3757324
-0.017202413	3.1329346	2.4758301
-0.018500963	3.1495309	2.5759277
-0.019329041	1.4237342	2.6760254
-0.021417653	2.8169928	2.776123
-0.020555193	2.7647457	2.8762207
-0.022073554	-0.32721275	2.9763184
-0.020354005	-0.080114268	3.076416
-0.023559835	2.6403768	3.1765137
-0.022704948	1.3825512	3.2766113
-0.023231961	2.5354726	3.376709
-0.026272012	1.5364243	3.4768066
-0.026392356	1.7845472	3.5769043
-0.027343437	1.5739193	3.677002
-0.02946193	1.7050495	3.7770996
-0.028093126	0.70866472	3.8771973
-0.030970315	-0.41531587	3.9772949
-0.029414447	-1.1381712	4.0773926
-0.032100633	2.9366491	4.1774902
-0.033558466	0.65703219	4.2775879
-0.028907081	1.2102379	4.3776855
-0.03343812	-2.0470674	4.4777832
-0.034544133	0.88773942	4.5778809
-0.036116324	-1.649784	4.6779785
-0.034404144	1.8773628	4.7780762
-0.035700444	1.0832055	4.8781738
-0.039967053	-1.8704515	4.9782715
-0.038409602	-1.1437032	5.0783691
-0.039154738	2.5807536	5.1784668
-0.040468484	-0.54480702	5.2785645
-0.041739047	-1.4971402	5.3786621
-0.042498562	2.9636948	5.4787598
-0.042439412	2.2723925	5.5788574
-0.044850376	-1.1170675	5.6789551
-0.046020806	-3.4352038	5.7790527
-0.046344381	1.6112095	5.8791504
-0.046214011	-1.8731151	5.979248
-0.047511999	4.0458775	6.0793457
-0.047175936	2.2490351	6.1794434
-0.050540384	1.876953	6.279541
-0.04969573	0.95248497	6.3796387
-0.050916966	2.1990416	6.4797363
-0.0515281	3.6654463	6.579834
-0.052583303	1.1653668	6.6799316
-0.053170487	3.2146862	6.7800293
-0.056118287	-0.74375612	6.880127
-0.053021085	-1.4686604	6.9802246
-0.05581231	-1.3801475	7.0803223
-0.054887839	-0.65257967	7.1804199
-0.057541326	-1.1490304	7.2805176
-0.057419959	-0.83165437	7.3806152
-0.060779084	3.5771382	7.4807129
-0.05961822	1.8915004	7.5808105
-0.059299558	2.1724057	7.6809082
-0.062448081	3.3015599	7.7810059
-0.064319953	1.7300463	7.8811035
-0.063602395	-0.59582484	7.9812012
-0.064955644	2.5104759	8.0812988
-0.063806035	-0.0020508084	8.1813965
-0.064376846	3.0470853	8.2814941
-0.064557366	0.9676469	8.3815918
-0.066288784	2.7174158	8.4816895
-0.06766475	-0.55464178	8.5817871
-0.069796339	1.2780567	8.6818848
-0.068295531	0.50812769	8.7819824
-0.071319051	1.565109	8.8820801
-0.071162075	2.3781164	8.9821777
-0.069895193	0.43928435	9.0822754
-0.069062613	-1.9425731	9.182373
-0.071243733	1.8636352	9.2824707
-0.073424809	4.4155011	9.3825684
-0.074263319	2.8866558	9.482666
-0.076111607	5.1020904	9.5827637
-0.07551787	3.8205488	9.6828613
-0.079424269	2.2000661	9.782959
-0.079554848	5.2420311	9.8830566
-0.080075309	3.7961667	9.9831543
-0.0777696	0.21923144	10.083252
-0.08006835	4.0971003	10.18335
-0.082165353	-1.1518989	10.283447
-0.082764	0.85762042	10.383545
-0.080166183	0.49726847	10.483643
-0.083944105	1.7802445	10.58374
-0.084333584	2.8669863	10.683838
-0.085865453	3.7728093	10.783936
-0.08474496	-0.53456247	10.884033
-0.086884893	3.5843096	10.984131
-0.088224426	0.16063263	11.084229
-0.090458505	-0.86976409	11.184326
-0.088383861	0.054089315	11.284424
-0.09118814	2.4072108	11.384521
