MTS793|MPT|ENU|1|2|.|/|:|1|0|0|A

Data Acquisition						Time:	34.304199	Sec
Channel 1 Displacement	Channel 1 Force	Time
mm	N	Sec
-0.00021036132	-3.35427	0.084716797
-0.0020642218	-1.5516393	0.11816406
0.00028104064	0.10941176	0.15161133
-0.0015022103	-3.346894	0.18505859
-0.00043590277	-3.3370593	0.21850586
-0.0027128069	1.0567764	0.25195313
-0.0028415415	-0.11637808	0.28540039
-0.0033959807	1.6573118	0.31884766
-0.0026866097	0.96867329	0.35229492
-0.002815549	-1.3797357	0.38574219
-0.0035599177	-2.5881827	0.41918945
-0.0043134964	-0.060647737	0.45263672
-0.0054192529	-0.37597492	0.48608398
-0.0047233901	-2.4175086	0.51953125
-0.0059620263	2.0109537	0.55297852
-0.0075651715	-2.713371	0.58642578
-0.0079562357	-1.5620887	0.61987305
-0.010748898	0.024586905	0.65332031
-0.0094288047	-0.66712499	0.68676758
-0.0097116521	0.7801736	0.72021484
-0.011103122	0.44763553	0.75366211
-0.013526567	-1.1391938	0.78710938
-0.012513473	-2.1822937	0.82055664
-0.015550504	-1.1924654	0.85400391
-0.016419105	-0.39482489	0.88745117
-0.01619561	1.4698366	0.92089844
-0.016862206	-1.6903505	0.9543457
-0.018695958	-1.9903109	0.98779297
-0.020011753	1.2733462	1.0212402
-0.019399803	-1.4096498	1.0546875
-0.020789074	1.2690434	1.0881348
-0.021296183	-0.17067419	1.121582
-0.021866996	-1.2047589	1.1550293
-0.023833422	0.55356419	1.1884766
-0.024671476	1.1198828	1.2219238
-0.026686817	-1.4545209	1.2553711
-0.026445108	-1.0617449	1.2888184
-0.026883706	0.29314774	1.3222656
-0.026610477	-2.3781695	1.3557129
-0.027786691	-0.65729022	1.3891602
-0.026480105	0.090766683	1.4226074
-0.029561142	-3.3962727	1.4560547
-0.031051107	2.198019	1.489502
-0.032672416	2.1871598	1.5229492
-0.032481872	0.17948447	1.5563965
-0.034298688	-0.72777271	1.5898438
-0.034356814	1.5864196	1.623291
-0.036768131	-0.51099807	1.6567383
-0.033846378	1.1379132	1.6901855
-0.036370263	0.27265865	1.7236328
-0.037664361	-1.9214675	1.7570801
-0.035205919	-1.1463649	1.7905273
-0.04135054	1.0645622	1.8239746
-0.038536798	-1.4969335	1.8574219
-0.03945677	-0.90254474	1.8908691
-0.041196633	-1.2842566	1.9243164
-0.042603504	0.013522793	1.9577637
-0.041670639	-0.95970929	1.9912109
-0.044489495	-0.94925988	2.0246582
-0.045828369	-1.9419565	2.0581055
-0.04627372	-2.6092865	2.0915527
-0.044827349	-1.5086122	2.125
-0.049189333	-0.15940519	2.1584473
-0.047003351	-1.0351092	2.1918945
-0.048739888	-1.0736287	2.2253418
-0.04971246	-0.71445477	2.2587891
-0.051735118	-0.97302723	2.2922363
-0.050301488	-0.10203572	2.3256836
-0.051844001	-1.2088567	2.3591309
-0.052986853	1.3786601	2.3925781
-0.053951852	1.9359635	2.4260254
-0.055134203	0.48533547	2.4594727
-0.056466781	1.7911056	2.4929199
-0.056255974	-1.6243756	2.5263672
-0.057197027	-1.8665566	2.5598145
-0.057116389	-1.272168	2.5932617
-0.057230592	0.52221584	2.626709
-0.059682027	1.9222358	2.6601563
-0.062965631	1.2018392	2.6936035
-0.06002095	0.11822207	2.7270508
-0.064057723	-1.182016	2.760498
-0.064255632	0.7250579	2.7939453
-0.063354291	1.1327909	2.8273926
-0.062371075	-1.4035032	2.8608398
-0.065998107	-2.5265105	2.8942871
-0.065033317	-2.8963387	2.9277344
-0.068782374	0.54372942	2.9611816
-0.070015281	0.40358397	2.9946289
-0.072394468	-1.7116592	3.0280762
-0.071199276	-2.4023466	3.0615234
-0.069551103	-0.23009257	3.0949707
-0.072553903	-2.1036155	3.128418
-0.070955724	-2.0597689	3.1618652
-0.072779037	-0.10736288	3.1953125
-0.072528318	-1.8014014	3.2287598
-0.076590881	-0.29278919	3.262207
-0.075778358	-0.18542634	3.2956543
-0.075671315	-2.1529942	3.3291016
-0.078687012	-3.7238934	3.3625488
-0.079603508	-0.31717122	3.3959961
-0.077318057	-1.4352612	3.4294434
-0.082254536	-1.9171648	3.4628906
-0.079855651	-1.0851026	3.4963379
-0.08094468	-4.9296765	3.5297852
-0.084018141	-1.281593	3.5632324
-0.08383169	0.24131033	3.5966797
-0.082894735	-2.5209785	3.630127
-0.082315326	-4.6627035	3.6635742
-0.085146412	0.36998186	3.6970215
-0.085916162	0.73735136	3.7304688
-0.089376181	-2.5853143	3.763916
-0.088988543	0.3826851	3.7973633
-0.088602953	0.40112528	3.8308105
-0.088241927	1.2157718	3.8642578
-0.091449857	2.9438221	3.8977051
-0.091129549	-0.081136838	3.9311523
-0.093191504	-1.4922209	3.9645996
-0.093053974	1.1993805	3.9980469
-0.095347658	-2.4650433	4.0314941
-0.095476598	0.66973734	4.0649414
-0.097797506	-1.5317649	4.0983887
-0.097733237	-0.92057514	4.1318359
-0.095463291	-0.66425651	4.1652832
-0.09738674	-0.43191016	4.1987305
-0.098838381	-1.9931793	4.2321777
-0.098977961	-1.0205619	4.265625
-0.10192141	-0.5300529	4.2990723
-0.10183422	-2.0036287	4.3325195
-0.10034943	-1.8206611	4.3659668
-0.10462259	-0.39543957	4.3994141
-0.10521177	-0.21329151	4.4328613
-0.1054236	-0.2112426	4.4663086
-0.10750914	-0.54808331	4.4997559
-0.1074635	1.0276818	4.5332031
-0.10670849	-2.0997226	4.5666504
-0.10910553	-3.8160942	4.6000977
-0.11004699	-1.3317913	4.6335449
-0.10682105	-1.2426637	4.6669922
-0.10961372	-0.60504305	4.7004395
-0.11182569	-3.7365966	4.7338867
-0.11276694	0.84225553	4.767334
-0.11296588	-3.4591742	4.8007813
-0.11268263	-4.1580572	4.8342285
-0.11320329	-0.40547922	4.8676758
-0.11394705	-0.71855259	4.901123
-0.11512096	0.62240756	4.9345703
-0.11432773	-1.6747787	4.9680176
-0.11657409	-3.0735693	5.0014648
-0.11688456	-0.021103781	5.0349121
-0.11942114	3.2747211	5.0683594
-0.12139206	-1.4616921	5.1018066
-0.12160164	-4.1097031	5.1352539
-0.11981921	2.1392155	5.1687012
-0.12474285	-3.4888835	5.2021484
-0.124135	-1.7995573	5.2355957
-0.12352304	-1.0723994	5.269043
-0.12466855	-0.33643097	5.3024902
-0.12455865	-3.3171847	5.3359375
-0.12521864	-0.32864511	5.3693848
-0.12870343	-5.5724196	5.402832
-0.13007019	-0.24136157	5.4362793
-0.12980126	-1.1643953	5.4697266
-0.12911154	0.50623435	5.5031738
-0.1291713	-1.9634701	5.5366211
-0.13043778	-2.3701787	5.5700684
-0.13182679	-1.095552	5.6035156
-0.1308078	-3.200397	5.6369629
-0.13610286	-0.94393265	5.6704102
-0.13735664	-1.3262593	5.7038574
-0.1358898	-0.77284873	5.7373047
-0.13661924	1.6487064	5.770752
-0.13685296	0.16124918	5.8041992
-0.13881341	-0.40937215	5.8376465
-0.13880235	-2.5678985	5.8710938
-0.13765606	-1.8395112	5.904541
-0.14083959	-2.8735957	5.9379883
-0.14289069	-3.164541	5.9714355
-0.14308739	-2.4113617	6.0048828
-0.1420792	-0.28172508	6.0383301
-0.14414816	2.2988255	6.0717773
-0.14345741	-1.4889426	6.1052246
-0.14636177	-1.2580305	6.1386719
-0.14470609	-3.5941973	6.1721191
-0.1460077	-0.92795122	6.2055664
-0.1506663	-2.4570525	6.2390137
